date,hour,percentage
05/07/2013,3,100.0
05/07/2013,4,100.0
05/07/2013,5,100.0
05/07/2013,6,100.0
05/07/2013,7,100.0
05/07/2013,8,100.0
05/07/2013,9,100.0
05/07/2013,10,100.0
05/07/2013,11,100.0
05/07/2013,12,100.0
05/07/2013,13,100.0
05/07/2013,14,100.0
05/07/2013,15,100.0
05/07/2013,16,100.0
05/07/2013,17,100.0
05/07/2013,18,100.0
05/07/2013,19,100.0
05/07/2013,20,100.0
05/07/2013,21,100.0
05/07/2013,22,100.0
06/07/2013,23,100.0
06/07/2013,0,100.0
06/07/2013,1,100.0
06/07/2013,2,100.0
06/07/2013,3,100.0
06/07/2013,4,100.0
06/07/2013,5,100.0
06/07/2013,6,100.0
06/07/2013,7,100.0
06/07/2013,8,100.0
06/07/2013,9,100.0
06/07/2013,10,100.0
06/07/2013,11,8.333333333333332
06/07/2013,13,91.66666666666666
06/07/2013,14,100.0
06/07/2013,15,100.0
06/07/2013,16,100.0
06/07/2013,17,100.0
06/07/2013,18,100.0
06/07/2013,19,100.0
06/07/2013,20,100.0
06/07/2013,21,100.0
06/07/2013,22,100.0
07/07/2013,23,100.0
07/07/2013,0,100.0
07/07/2013,1,100.0
07/07/2013,2,100.0
07/07/2013,3,100.0
07/07/2013,4,100.0
07/07/2013,5,100.0
07/07/2013,6,100.0
07/07/2013,7,100.0
07/07/2013,8,100.0
07/07/2013,9,100.0
07/07/2013,10,100.0
07/07/2013,11,100.0
07/07/2013,12,100.0
07/07/2013,13,100.0
07/07/2013,14,100.0
07/07/2013,15,100.0
07/07/2013,16,100.0
07/07/2013,17,100.0
07/07/2013,18,100.0
07/07/2013,19,100.0
07/07/2013,20,100.0
07/07/2013,21,100.0
07/07/2013,22,100.0
08/07/2013,23,100.0
08/07/2013,0,100.0
08/07/2013,1,100.0
08/07/2013,2,100.0
08/07/2013,3,100.0
08/07/2013,4,100.0
08/07/2013,5,100.0
08/07/2013,6,100.0
08/07/2013,7,100.0
08/07/2013,8,100.0
08/07/2013,9,100.0
08/07/2013,10,100.0
08/07/2013,11,100.0
08/07/2013,12,100.0
08/07/2013,13,100.0
08/07/2013,14,100.0
08/07/2013,15,100.0
08/07/2013,16,100.0
08/07/2013,17,100.0
08/07/2013,18,100.0
08/07/2013,19,100.0
08/07/2013,20,100.0
08/07/2013,21,100.0
08/07/2013,22,100.0
09/07/2013,23,100.0
09/07/2013,0,100.0
09/07/2013,1,100.0
09/07/2013,2,100.0
09/07/2013,3,100.0
09/07/2013,4,100.0
09/07/2013,5,100.0
09/07/2013,6,100.0
09/07/2013,7,100.0
09/07/2013,8,100.0
09/07/2013,9,100.0
